Cst_Cd,Cstm_Nm,Cstm_Nm_Bk,Audit_Team_Mgr_Cnt,Exp_Auditor_Cnt,Exp_Inspct_Team_Mgr_Cnt,Exp_Inspctor_Cnt,Imp_Auditor_Cnt,Imp_Inspct_Team_Mgr_Cnt,Imp_Inspctor_Cnt
5200,"Гаалийн хяналт, бүрдүүлэлтийн хэлтэс","Гаалийн хяналт, бүрдүүлэлтийн хэлтэс",0,0,0,0,0,0,0
99,Test Border CH,Test Border CH,0,0,0,0,0,0,0
99901,Border Desc.1,Border Desc.1,0,0,0,0,0,0,0
99902,Border Desc.2,Border Desc.2,0,0,0,0,0,0,0
99903,Border Insp.1,Border Insp.1,0,0,0,0,0,0,0
99904,Border Insp.2,Border Insp.2,0,0,0,0,0,0,0
98,Test Border CH,Test Border CH,0,0,0,0,0,0,0
98901,Inland Desc.1,Inland Desc.1,0,0,0,0,0,0,0
98902,Inland Desc.2,Inland Desc.2,0,0,0,0,0,0,0
98903,Inland Insp.1,Inland Insp.1,0,0,0,0,0,0,0
98904,Inland Insp.2,Inland Insp.2,0,0,0,0,0,0,0
3500,"Санхүү, татварын хэлтэс","Санхүү, татварын хэлтэс",0,0,0,0,0,0,0
7903,Улаанбайшинт,Улаанбайшинт,0,0,0,0,0,0,0
10400,Бүрдүүлэлтийн дараах шалгалтын хэсэг,Бүрдүүлэлтийн дараах шалгалтын хэсэг,0,0,0,0,0,0,0
13901,Дархан-1 өртөө ,Дархан-1 өртөө ,0,0,0,0,0,0,0
16505,Хураамж,Хураамж,0,0,0,0,0,0,0
12200,"Гаалийн хяналт,  бүрдүүлэлтийн алба","Гаалийн хяналт,  бүрдүүлэлтийн алба",0,0,0,0,0,0,0
5202,Хяналт шалгалтын хэлтэс,Олон улсын нисэх буудал,0,0,0,1,0,0,1
1201,Боомт хариуцсан хэсэг,Боомт хариуцсан хэсэг,0,0,0,0,0,0,0
6904,Ульханмайхан ,Ульханмайхан ,0,0,0,0,0,0,0
10201,Орхоны төв дэх гаалийн бүрдүүлэлтийн хэсэг,Орхоны төв дэх гаалийн бүрдүүлэлтийн хэсэг,0,0,0,0,0,0,0
14505,Хураамж,Хураамж,0,0,0,0,0,0,0
16901,Бичигт,Бичигт,0,0,0,0,0,0,0
18100,Захиргааны хэсэг,Захиргааны хэсэг,0,0,0,0,0,0,0
11904,Говьсүмбэр ,Говьсүмбэр ,0,0,0,0,0,0,0
5300,Гаалийн зөрчлөөс урьдчилан сэргийлэх алба,Гаалийн зөрчлөөс урьдчилан сэргийлэх алба,0,0,0,0,0,0,0
2600,Статистик,Статистик,0,0,0,0,0,0,0
4300,Гаалийн зөрчлөөс урьдчилан сэргийлэх алба,Гаалийн зөрчлөөс урьдчилан сэргийлэх алба,0,0,0,0,0,0,0
17300,Гаалийн зөрчлөөс урьдчилан сэргийлэх хэсэг,Гаалийн зөрчлөөс урьдчилан сэргийлэх хэсэг,0,0,0,0,0,0,0
6910,Сүмбэр,Сүмбэр,0,0,0,0,0,0,0
10501,БТКУС-ын хэсэг,БТКУС-ын хэсэг,0,0,0,0,0,0,0
12902,УБ шуудан,УБ шуудан,0,0,0,0,0,0,0
14903,Тавантолгой ХК,Тавантолгой ХК,0,0,0,0,0,0,0
11901,Сайншанд өртөө ,Сайншанд өртөө ,0,0,0,0,0,0,0
6200,"Гаалийн хяналт,  бүрдүүлэлтийн хэлтэс","Гаалийн хяналт,  бүрдүүлэлтийн хэлтэс",0,0,0,0,0,0,0
4905,Видү,Видү,0,0,0,0,0,0,0
7800,Эрсдэл,Эрсдэл,0,0,0,0,0,0,0
16902,СБ Цайрт минерал,СБ Цайрт минерал,0,0,0,0,0,0,0
3901,Автозамын цогцолбор,Автозамын цогцолбор ,1,0,0,0,0,0,0
10502,"Үнэ, үнэлгээний хэсэг","Үнэ, үнэлгээний хэсэг",0,0,0,0,0,0,0
13600,Статистик,Статистик,0,0,0,0,0,0,0
16501,БТКУС-ын хэсэг,БТКУС-ын хэсэг,0,0,0,0,0,0,0
12100,Захиргааны хэсэг,Захиргааны хэсэг,0,0,0,0,0,0,0
30,30 custom name,30 custom name,0,0,0,0,0,0,0
1800,Эрсдлийн удирдлагын хэлтэс,Эрсдлийн хэсэг,0,0,0,0,0,0,0
4503,Санхүүгийн хэсэг,Санхүүгийн хэсэг,0,0,0,0,0,0,0
9100,Захиргааны хэсэг,Захиргааны хэсэг,0,0,0,0,0,0,0
9203,Тэс дэх гаалийн салбар,Тэс дэх гаалийн салбар,0,0,0,0,0,0,0
10100,Захиргааны хэсэг,Захиргааны хэсэг,0,0,0,0,0,0,0
11201,Говьсүмбэр дэх авто тээврийн хяналтын хэсэг,Говьсүмбэр дэх авто тээврийн хяналтын хэсэг,0,0,0,0,0,0,0
11400,Бүрдүүлэлтийн дараах шалгалтын хэсэг,Бүрдүүлэлтийн дараах шалгалтын хэсэг,0,0,0,0,0,0,0
12,Улс хоорондын шуудан илгээмжийн гаалийн газар,Олон улсын шуудан илгээмж дэх гаалийн хороо,0,0,0,0,0,0,0
12505,Хураамж,Хураамж,0,0,0,0,0,0,0
12901,Монгол шуудан,Монгол шуудан,0,0,0,0,0,0,0
13200,"Гаалийн хяналт,  бүрдүүлэлтийн алба","Гаалийн хяналт,  бүрдүүлэлтийн алба",0,0,0,0,0,0,0
13300,Гаалийн зөрчлөөс урьдчилан сэргийлэх хэсэг,Гаалийн зөрчлөөс урьдчилан сэргийлэх хэсэг,0,0,0,0,0,0,0
14100,Захиргааны хэсэг,Захиргааны хэсэг,0,0,0,0,0,0,0
1101,"Хууль, эрх зүйн хэлтэс",Эрх зүйн алба,0,0,0,0,0,0,0
1200,"Гаалийн хяналт, бүрдүүлэлтийн хэлтэс","Гаалийн хяналт, бүрдүүлэлтийн хэлтэс",0,0,0,0,0,0,0
1203,Баталгаат бүс хариуцсан хэсэг,Баталгаат бүс хариуцсан хэсэг,0,0,0,0,0,0,0
1300,Гаалийн зөрчилтэй тэмцэх хэлтэс,Гаалийн зөрчлөөс урьдчилан сэргийлэх хэлтэс,0,0,0,0,0,0,0
1502,"Хөнгөлөлт, чөлөөлөлтийн хэсэг","Хөнгөлөлт, чөлөөлөлтийн хэсэг",0,0,0,0,0,0,0
1503,"Барааны ангилал, үнэ үнэлгээний хэлтэс",БТКУС-ын алба,0,0,0,0,0,0,0
1504,Үнэ тодорхойлох алба,Үнэ тодорхойлох алба,0,0,0,0,0,0,0
1505,Санхүүгийн хэсэг,Санхүүгийн хэсэг,0,0,0,0,0,0,0
1710,Сургалтын төв,"Гааль, эдийн засгийн дээд сургууль",0,0,0,0,0,0,0
1720,Гаалийн төв лаборатор,Гаалийн төв лаборатор,0,0,0,0,0,0,0
1730,Хөдөлгөөнт хяналтын төв,Эрэлч нохойн алба,0,0,0,0,0,0,0
1750,"Хөрөнгө оруулалт, ашиглалт үйлчилгээний газар","Хөрөнгө оруулалт, ашиглалт үйлчилгээний газар",0,0,0,0,0,0,0
2100,Захиргааны хэсэг,Захиргааны хэсэг,0,0,0,0,0,0,0
2202,Бүрдүүлэлтийн 2-р алба    ,Бүрдүүлэлтийн 2-р алба    ,1,0,0,0,0,0,0
2204,ОАТБарааны бүрдүүлэлт,ОАТБарааны бүрдүүлэлт,0,0,0,0,0,0,0
2300,МУСЭУ-ын хэлтэс,Гаалийн зөрчлөөс урьдчилан сэргийлэх алба,0,0,0,0,0,0,0
2500,"Санхүү, татварын хэлтэс","Санхүү, татварын хэлтэс",0,0,0,0,0,0,0
2501,БТКУС-ын хэсэг,БТКУС-ын хэсэг,0,0,0,0,0,0,0
2504,Татвар,Татвар,0,0,0,0,0,0,0
2901,Ачаа тээш,Ачаа тээш,0,0,0,0,0,0,0
2903,Материалимпекс ,Материалимпекс ,0,0,0,0,0,0,0
2904,МТТ,МТТ,0,0,0,0,0,0,0
2905,Туушин ,Туушин ,0,0,0,0,0,0,0
2907,Прогрестранс ,Прогрестранс ,0,0,0,0,0,0,0
2910,УБ импекс,УБ импекс,0,0,0,0,0,0,0
2911,Бага-Нуур,Бага-Нуур,0,0,0,0,0,0,0
2912,МТХХАлба,МТХХАлба,0,0,0,0,0,0,0
2914,Би Эль Си,Би Эль Си,0,0,0,0,0,0,0
3100,Захиргааны хэсэг,Захиргааны хэсэг,0,0,0,0,0,0,0
3201,Авто тээврийн хяналтын хэсэг,Авто тээврийн хяналтын хэсэг,1,0,0,0,0,0,0
3204,Нарийн царигийн хяналтын хэсэг,Нарийн царигийн хяналтын хэсэг,0,0,0,0,0,0,0
3400,Бүрдүүлэлтийн дараах шалгалтын алба,Бүрдүүлэлтийн дараах шалгалтын алба,0,0,0,0,0,0,0
3501,БТКУС-ын хэсэг,БТКУС-ын хэсэг,0,0,0,0,0,0,0
3502,"Үнэ, үнэлгээний хэсэг","Үнэ, үнэлгээний хэсэг",0,0,0,0,0,0,0
3505,Хураамж,Хураамж,0,0,0,0,0,0,0
3800,Эрсдлийн алба,Эрсдлийн алба,0,0,0,0,0,0,0
3902,Өргөн төмөр зам,Өргөн төмөр зам ,0,0,0,0,0,0,0
4100,Захиргааны хэсэг,Захиргааны хэсэг,0,0,0,0,0,0,0
4201,Сүхбаатар дахь г/бүрдүүлэлтийн хэсэг,Сүхбаатар дахь г/бүрдүүлэлтийн хэсэг,0,0,0,0,0,0,0
4203,Ерөө,Ерөө,0,0,0,0,0,0,0
4501,БТКУС-ын хэсэг,БТКУС-ын хэсэг,0,0,0,0,0,0,0
4504,Татвар,Татвар,0,0,0,0,0,0,0
4505,Хураамж,Хураамж,0,0,0,0,0,0,0
4800,Эрсдлийн алба,Эрсдлийн алба,0,0,0,0,0,0,0
4902,Алтанбулаг,Алтанбулаг ,0,0,0,0,0,0,0
4903,Туушин ,Туушин ,0,0,0,0,0,0,0
4907,Болд төмөр-Ерөө гол,Болд төмөр-Ерөө гол,0,0,0,0,0,0,0
5100,Захиргааны хэсэг,Захиргааны хэсэг,0,0,0,0,0,0,0
5201,"Татвар, бүрдүүлэлтийн хэлтэс",Карго терминал,1,0,0,4,0,0,2
5400,Бүрдүүлэлтийн дараах шалгалтын алба,Бүрдүүлэлтийн дараах шалгалтын алба,0,0,0,0,0,0,0
5500,"Санхүү, татварын хэлтэс","Санхүү, татварын хэлтэс",0,0,0,0,0,0,0
5501,БТКУС-ын хэсэг,БТКУС-ын хэсэг,0,0,0,0,0,0,0
5600,Статистик,Статистик,0,0,0,0,0,0,0
5901,Карго терминал,Карго терминал,0,0,0,0,0,0,0
6,Дорнод дахь гаалийн газар,Дорнод дахь гаалийн газар,0,0,0,0,0,0,0
