код,Гаалийн газар хорооны код,Гаалийн газар хорооны нэр,Төрөл,Он,Сар,Дүн
255,12,Улс хоорондын шуудан илгээмж дэх ГХ,Татвар,2024,5,6335.29
256,17,Говь-Алтай аймгийн Бургастай дахь ГХ,Татвар,2024,5,89.82
257,16,Сүхбаатар аймгийн Бичигт дэх ГХ,Татвар,2024,5,6406.22
258,19,Хөвсгөл аймгийн Ханх дахь ГХ,Татвар,2024,5,11.5
259,18,Завхан аймгийн Арцсуурь дахь ГХ,Татвар,2024,5,0
260,20,Ханги дахь гаалийн газар,Татвар,2024,5,2694.44
261,1,ГЕГазар,Хураамж,2024,5,0.28
262,2,Улаанбаатар хот дахь ГГ,Хураамж,2024,5,224.58
263,3,Замын-Үүд дэх ГГ,Хураамж,2024,5,170.43
264,5,Чингис хаан ОУНБ ГГ,Хураамж,2024,5,11.99
265,4,Сэлэнгэ аймаг дахь ГГ,Хураамж,2024,5,17.96
266,14,Гашуунсухайт дахь ГГ,Хураамж,2024,5,6803.43
267,15,Шивээхүрэн дэх ГГ,Хураамж,2024,5,2139.52
268,11,Сайншанд дахь ГГ,Хураамж,2024,5,984.73
269,8,Ховд аймгийн Булган дахь ГГ,Хураамж,2024,5,550
270,7,Баян-Өлгий аймаг дахь ГГ,Хураамж,2024,5,6.62
271,10,Орхон аймаг дахь ГГ,Хураамж,2024,5,65.87
272,13,Дархан-Уул аймаг дахь ГГ,Хураамж,2024,5,521.94
273,6,Дорнод аймаг дахь ГГ,Хураамж,2024,5,57.81
274,9,Увс аймаг дахь ГГ,Хураамж,2024,5,1.49
275,12,Улс хоорондын шуудан илгээмж дэх ГХ,Хураамж,2024,5,19
276,17,Говь-Алтай аймгийн Бургастай дахь ГХ,Хураамж,2024,5,4.27
277,16,Сүхбаатар аймгийн Бичигт дэх ГХ,Хураамж,2024,5,394.03
278,19,Хөвсгөл аймгийн Ханх дахь ГХ,Хураамж,2024,5,0.03
279,18,Завхан аймгийн Арцсуурь дахь ГХ,Хураамж,2024,5,0.08
280,20,Ханги дахь гаалийн газар,Хураамж,2024,5,389.83
281,1,ГЕГазар,Өөрийн орлого,2024,5,464.65
282,2,Улаанбаатар хот дахь ГГ,Өөрийн орлого,2024,5,246.42
283,3,Замын-Үүд дэх ГГ,Өөрийн орлого,2024,5,206.12
284,5,Чингис хаан ОУНБ ГГ,Өөрийн орлого,2024,5,127.84
285,4,Сэлэнгэ аймаг дахь ГГ,Өөрийн орлого,2024,5,42.41
286,14,Гашуунсухайт дахь ГГ,Өөрийн орлого,2024,5,75.9
287,15,Шивээхүрэн дэх ГГ,Өөрийн орлого,2024,5,10.64
288,11,Сайншанд дахь ГГ,Өөрийн орлого,2024,5,54.48
289,8,Ховд аймгийн Булган дахь ГГ,Өөрийн орлого,2024,5,5.4
290,7,Баян-Өлгий аймаг дахь ГГ,Өөрийн орлого,2024,5,42.41
