Bordr Cstm Yn,Cstm Cd,Cstm Fg Cd,Cstm Nm,Cstm Nm Bk,Group Id,Upper Cstm Cd,Use Dclr,Use Ib,Use Yn,Audit Team Mgr Cnt,Exp Auditor Cnt,Exp Inspct Team Mgr Cnt,Exp Inspctor Cnt,Imp Auditor Cnt,Imp Inspct Team Mgr Cnt,Imp Inspctor Cnt,Impexp Auditor Cnt,Impexp Inspct Team Mgr Cnt,Impexp Inspctor Cnt
N,10901,30,Эрдэнэт өртөө ,Эрдэнэт өртөө ,,10,Y,N,Y,0,0,0,0,0,0,0,0,0,0
N,11,20,Сайншанд дахь  гаалийн газар,Сайншанд дахь  гаалийн газар,,01,Y,N,Y,0,0,0,0,0,0,0,0,0,0
N,11200,30,Гаалийн хяналт бүрдүүлэлтийн алба,"Гаалийн хяналт,  бүрдүүлэлтийн алба",,11,Y,N,Y,0,0,0,0,0,0,0,0,0,0
Y,11204,30,Ханги дахь гаалийн салбар,Ханги-мандалын хилийн боомт,,11,Y,N,N,0,0,0,0,0,0,0,0,0,0
N,11206,30,Сайншанд дахь төмөр замын хяналтын хэсэг,Сайншанд дахь төмөр замын хяналтын хэсэг,,11,Y,N,Y,0,0,0,0,0,0,0,0,0,0
N,11300,30,Гаалийн зөрчлөөс урьдчилан сэргийлэх хэсэг,Гаалийн зөрчлөөс урьдчилан сэргийлэх хэсэг,,11,Y,N,Y,0,0,0,0,0,0,0,0,0,0
N,11503,30,Санхүүгийн хэсэг,Санхүүгийн хэсэг,,11,Y,N,Y,0,0,0,0,0,0,0,0,0,0
N,11800,30,Эрсдэл,Эрсдэл,,11,Y,N,Y,0,0,0,0,0,0,0,0,0,0
N,11906,30,Ханги-Мандал,Ханги-Мандал,,11,Y,N,Y,0,0,0,0,0,0,0,0,0,0
N,12502,30,"Үнэ, үнэлгээний хэсэг","Үнэ, үнэлгээний хэсэг",,12,Y,N,Y,0,0,0,0,0,0,0,0,0,0
N,12600,30,Статистик,Статистик,,12,Y,N,Y,0,0,0,0,0,0,0,0,0,0
Y,14,20,Гашуунсухайт дахь гаалийн газар,Гашуунсухайт дахь гаалийн хороо,,01,Y,N,Y,0,0,0,0,0,0,0,0,0,0
N,14200,30,"Гаалийн хяналт,  бүрдүүлэлтийн алба","Гаалийн хяналт,  бүрдүүлэлтийн алба",,14,Y,N,Y,0,0,0,0,0,0,0,0,0,0
N,14502,30,"Үнэ, үнэлгээний хэсэг","Үнэ, үнэлгээний хэсэг",,14,Y,N,N,0,0,0,0,0,0,0,0,0,0
N,14800,30,Эрсдэл,Эрсдэл,,14,Y,N,N,0,0,0,0,0,0,0,0,0,0
Y,14901,30,Гашуунсухайт,Гашуунсухайт ,,14,Y,N,Y,0,0,0,0,0,0,0,0,0,0
N,14902,30,Ухаа худаг - Энержи,Айвенхоу Майнз Монголия Инк ХХК,,14,N,N,Y,0,0,0,0,0,0,0,0,0,0
N,15,20,Шивээхүрэн дахь гаалийн газар,Шивээхүрэн дахь гаалийн хороо,,01,Y,N,Y,0,0,0,0,0,0,0,0,0,0
N,15200,30,"Гаалийн хяналт, эрсдлийн удирдлагын алба","Гаалийн хяналт,  бүрдүүлэлтийн алба",,15,Y,N,Y,0,0,0,0,0,0,0,0,0,0
N,15503,30,Санхүүгийн хэсэг,Санхүүгийн хэсэг,,15,Y,N,N,0,0,0,0,0,0,0,0,0,0
Y,15901,30,Шивээхүрэн галерей,Шивээхүрэн ,,15,Y,N,Y,0,0,0,0,0,0,0,0,0,0
N,15902,30,"МАК, ЧИН ХУА МАК бүрдүүлэлтийн хэсэг",Чин Хуа-Мак-Нарийн сухайт ХХК,,15,Y,N,Y,0,0,0,0,0,0,0,0,0,0
N,16200,30,"Гаалийн хяналт,  бүрдүүлэлтийн алба","Гаалийн хяналт,  бүрдүүлэлтийн алба",,16,Y,N,Y,0,0,0,0,0,0,0,0,0,0
N,04500,30,"Санхүү, татварын хэлтэс","Санхүү, татварын хэлтэс",,04,Y,N,Y,0,0,0,0,0,0,0,0,0,0
N,04502,30,"Үнэ, үнэлгээний хэсэг","Үнэ, үнэлгээний хэсэг",,04,Y,N,Y,0,0,0,0,0,0,0,0,0,0
N,04600,30,Статистик,Статистик,,04,Y,N,Y,0,0,0,0,0,0,0,0,0,0
